,order_line_id,order_id,date_id,order_date,customer_id,product_id,category,seller_id,seller_rating,location_id_x,delivery_person_id,payment_id,campaign_id,fulfillment_id,quantity,unit_price,discount_percentage,tax_percentage,shipping_fee,expected_delivery_date,actual_delivery_date,delivery_rating,order_status,return_flag,refund_amount,return_date,customer_rating,review_text,sentiment_score,delivery_delay_days,delivery_sla_days,gross_amount,discount_amount,tax_amount,net_amount,product_name,brand,first_name,email_x,phone_number_x,marital_status,payment_method,payment_provider,description,seller_name,email_y,phone_number_y,join_date,location_id_y,rating,category_focus,bank_name,bank_account_number,ifsc_code,delivery_person_name,phone_number,gender,date_of_joining,employment_type,vehicle_type,location_id,state,city,postal_code,region,latitude,longitude,area_type,location_category
0,OL00000001,ORD0210788,2026-02-20,2026-02-20,CUST009513,PROD000763,Baby,SELL2379,4.6,LOC0010,DEL01094,PAY005,CAMP0098,FUL002,2,19999,9.66,5.0,86.64,2026-02-22,2026-02-22,4.5,Completed,False,0.0,,4.4,Very soft and baby-friendly material.,0.84,0,2,39998,3863.8068,1999.9,38220.7332,Baby Car Seat Infant,Maxi-Cosi,raghav,raghavbadal2158@gmail.com,+91 80489 89513,Single,Debit Card,Mastercard,Payment via Mastercard (Debit Card),"Virk, Kamdar and Kakar",virkkamdarandkakar@gmail.com,+91 70748 53544,2026-02-06,LOC0032,2.1,Baby,Axis Bank,62033351270,UTIB9890396,Bhamini Acharya,+91 87677 50606,Female,2023-09-22,Full-Time,Van,LOC0010,Karnataka,Bengaluru,843810,South,28.180254,81.284503,Urban,Tier-1
1,OL00000002,ORD0248321,2025-12-02,2025-12-02,CUST003412,PROD000142,Clothing,SELL2964,4.0,LOC0053,DEL01927,PAY004,CAMP0068,FUL003,4,2499,7.04,5.0,215.79,2025-12-03,2025-12-04,3.9,Completed,False,0.0,,4.3,Stitching is neat and well-finished.,0.66,1,1,9996,703.7184,499.8,10007.8716,Leather Belt,Tommy Hilfiger,neysa,neysachana@gmail.com,+91 69402 25279,Single,Debit Card,Visa,Payment via Visa (Debit Card),"Chauhan, Bahl and Sem",chauhanbahlandsem@gmail.com,+91 70664 05314,2021-10-09,LOC0085,2.9,Clothing,HDFC Bank,970167000000,HDFC9853155,Emir Roy,+91 86280 58620,Female,2025-12-22,Contract,Bike,LOC0053,Madhya Pradesh,Bhopal,406047,Central,35.497063,72.654328,Urban,Tier-2
2,OL00000003,ORD0377603,2025-04-03,2025-04-03,CUST065509,PROD001194,Gaming,SELL2485,3.9,LOC0095,DEL00300,PAY009,CAMP0103,FUL002,5,89999,5.75,5.0,86.64,2025-04-05,2025-04-06,3.9,Completed,False,0.0,,4.6,Highly enjoyable and worth it.,0.44,1,2,449995,25874.7125,22499.75,446706.6775,Valve Index PC VR Full Kit,Valve,parinaaz,parinaazhari1693@gmail.com,+91 80735 36840,Married,UPI,Paytm,Payment via Paytm (UPI),Loke-Gupta,loke-gupta8053@gmail.com,+91 66961 76970,2023-08-28,LOC0006,2.8,Gaming,IndusInd Bank,3607206711,INDB1226667,Akarsh Bala,+91 67525 05978,Male,2024-12-07,Full-Time,EV Bike,LOC0095,Delhi,Dwarka,246344,North,25.275521,85.038029,Semi-Urban,Tier-3
3,OL00000004,ORD0019414,2025-06-01,2025-06-01,CUST070677,PROD000221,Home,SELL4121,4.0,LOC0038,DEL02152,PAY004,CAMP0001,FUL002,3,1499,0.61,5.0,86.64,2025-06-03,2025-06-03,4.0,Completed,False,0.0,,4.6,Fits perfectly in my space.,0.28,0,2,4497,27.4317,224.85,4781.058300000001,Garden Hose Expandable 30M,Amkoy,ira,irabarad2684@gmail.com,+91 60853 02218,Married,Debit Card,Visa,Payment via Visa (Debit Card),Sengupta-D’Alia,sengupta-d’alia@gmail.com,+91 77922 02599,2026-03-11,LOC0025,4.1,Home,State Bank of India,9132210000000,SBIN8958553,Urvi Sabharwal,+91 80768 72065,Female,2025-09-12,Contract,Scooter,LOC0038,West Bengal,Kharagpur,705775,East,30.623518,75.246045,Semi-Urban,Tier-3
4,OL00000005,ORD0157859,2025-10-25,2025-10-25,CUST017845,PROD000806,Pets,SELL3183,4.5,LOC0109,DEL03896,PAY012,CAMP0125,FUL003,2,299,4.41,5.0,215.79,2025-10-26,2025-10-26,5.0,Completed,False,0.0,,4.0,Strong and long-lasting material.,0.35,0,1,598,26.371800000000004,29.9,817.3181999999999,Chicken Jerky Dog Treats 100g,Dogsee Chew,anahita,anahitabasak@gmail.com,+91 89808 53567,Single,Wallet,Amazon Pay,Payment via Amazon Pay (Wallet),Varghese Group,varghesegroup@gmail.com,+91 65412 64339,2022-11-13,LOC0098,4.0,Pets,Kotak Mahindra Bank,28009648481,KKBK7239515,Vivaan Warrior,+91 71836 57299,Female,2023-10-11,Full-Time,EV Bike,LOC0109,Haryana,Faridabad,744789,North,33.810392,94.318552,Semi-Urban,Tier-3
5,OL00000006,ORD0235698,2025-12-16,2025-12-16,CUST070538,PROD000094,Electronics,SELL2471,3.9,LOC0061,DEL06959,PAY003,CAMP0071,FUL003,2,32990,8.99,5.0,215.79,2025-12-17,2025-12-17,4.9,Completed,False,0.0,,3.2,Battery life is impressive and lasts all day.,0.72,0,1,65980,5931.602000000001,3299.0,63563.188,Xbox Series S,Microsoft,fateh,fatehbhakta9960@gmail.com,+91 98039 70492,Married,Credit Card,RuPay,Payment via RuPay (Credit Card),Sahota and Sons,sahotaandsons@gmail.com,+91 73143 47715,2023-11-26,LOC0028,4.7,Electronics,Union Bank of India,1212640000000,UBIN7405723,Tiya Suresh,+91 65946 41624,Male,2025-03-19,Full-Time,Scooter,LOC0061,Kerala,Kochi,817475,South,21.653083,77.855672,Urban,Tier-2
6,OL00000007,ORD0055139,2026-01-11,2026-01-11,CUST076609,PROD000768,Baby,SELL3441,4.5,LOC0102,DEL04897,PAY005,CAMP0201,FUL003,2,3999,3.06,5.0,215.79,2026-01-12,2026-01-12,4.9,Completed,False,0.0,,3.7,Gentle on baby’s skin.,0.86,0,1,7998,244.7388,399.9,8368.9512,Diaper Backpack Bag Waterproof,Skip Hop,lakshit,lakshitkaur@gmail.com,+91 62014 65072,Married,Debit Card,Mastercard,Payment via Mastercard (Debit Card),Bajaj LLC,bajajllc@gmail.com,+91 83680 68504,2022-10-09,LOC0096,4.3,Baby,ICICI Bank,5117644515,ICIC9088348,Hrishita Bali,+91 92556 34954,Female,2023-08-04,Full-Time,Scooter,LOC0102,Odisha,Bhubaneswar,385322,East,26.2276,89.859603,Urban,Tier-2
7,OL00000008,ORD0372647,2025-06-15,2025-06-15,CUST028656,PROD001038,Footwear,SELL3960,1.5,LOC0109,DEL03373,PAY006,CAMP0184,FUL001,4,2499,0.73,5.0,46.27,2025-06-20,2025-06-22,1.4,Returned,True,-46.27,2025-06-24,2.5,Color mismatch,-0.97,2,5,9996,72.9708,499.8,10469.0992,Derby Shoe Perforated,U.S. Polo Assn.,aradhya,aradhyasem3347@gmail.com,+91 67992 33392,Married,Debit Card,RuPay,Payment via RuPay (Debit Card),Datta Inc,dattainc9022@gmail.com,+91 73802 94745,2021-09-08,LOC0035,4.1,Footwear,Axis Bank,5219552698,UTIB1996646,Dharmajan Banik,+91 65430 71062,Female,2021-11-13,Full-Time,EV Bike,LOC0109,Haryana,Faridabad,744789,North,33.810392,94.318552,Semi-Urban,Tier-3
8,OL00000009,ORD0343723,2025-07-01,2025-07-01,CUST086190,PROD000646,Groceries,SELL1536,1.7,LOC0085,DEL02857,PAY010,CAMP0154,FUL002,4,549,8.05,5.0,86.64,2025-07-03,2025-07-03,4.2,Returned,True,-86.64,2025-07-05,2.8,Expired product,-0.34,0,2,2196,176.77800000000002,109.8,2215.662,Ghee Pure 1kg,Patanjali,indrajit,indrajitkarpe9455@gmail.com,+91 89706 65259,Single,UPI,Amazon Pay,Payment via Amazon Pay (UPI),Lalla-Sarraf,lalla-sarraf6@gmail.com,+91 68121 93285,2023-08-06,LOC0068,1.0,Groceries,State Bank of India,604619652,SBIN3504006,Uthkarsh Loyal,+91 82695 48781,Female,2021-04-06,Contract,Van,LOC0085,Assam,Nagaon,790145,East,31.658707,90.383025,Semi-Urban,Tier-3
9,OL00000010,ORD0241416,2025-06-10,2025-06-10,CUST027218,PROD000347,Books,SELL2733,3.7,LOC0025,DEL03500,PAY012,CAMP0014,FUL001,3,599,0.99,5.0,46.27,2025-06-15,2025-06-15,4.3,Completed,False,0.0,,4.8,Great addition to my collection.,0.67,0,5,1797,17.7903,89.85,1915.3297,Becoming,Michelle Obama / Crown,rhea,rheagoda8563@gmail.com,+91 85348 02234,Single,Wallet,Amazon Pay,Payment via Amazon Pay (Wallet),Luthra-Bassi,luthra-bassi@gmail.com,+91 82952 95502,2021-10-28,LOC0025,2.8,Books,Kotak Mahindra Bank,1890210000000,KKBK2507628,Rasha Bobal,+91 78621 54996,Male,2021-12-20,Full-Time,EV Bike,LOC0025,Uttar Pradesh,Kanpur,461386,North,18.113839,75.081435,Urban,Tier-2
